lat	long	alt	plant_richness	country	effort	scale	biome	country	insularity	type	plant_origin	community_origin	Simp	Shan	Piel	Riq	Tmean_ERA5	PRCPTOT_ERA5	PET_ERA5	MODIS_NDVI
53.816667	-2.016667	40	75	UK	Limited	Regional	Temperate_seasonal_forest	UK	Island	Plantpollinatorinteractions	Native	Artificial	0.0768	0.167944148	0.242292189	2	7.669884269	1067.022631	933.1659185	0.643968595
56.0725	9.275556	85	18	Denmark	Limited	Local	Temperate_seasonal_forest	Denmark	Continent	Plantpollinatorinteractions	Native	Natural	0.197530864	0.348832096	0.503258335	2	7.818105193	807.094864	1152.799817	0.597797521
56.104167	9.107778	55	21	Denmark	Limited	Local	Temperate_seasonal_forest	Denmark	Continent	Plantpollinatorinteractions	Native	Natural	0.244897959	0.410116318	0.591672779	2	7.987791787	827.0019359	1011.421676	0.575459504
56.141667	9.39	95	15	Denmark	Limited	Local	Temperate_seasonal_forest	Denmark	Continent	Plantpollinatorinteractions	Native	Natural	0.132653061	0.257318641	0.371232327	2	7.790806727	795.6130098	1270.840834	0.637286777
59.734167	10.046667	300	22	Norway	Limited	Local	Boreal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0.08677686	0.184907399	0.266764988	2	4.603569572	1023.427765	2674.342278	0.584080992
60	7	1500	16	Norway	Limited	Local	Boreal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0	0	0	1	-1.681584709	1925.49532	117.0639258	0.172403306
60.583333	7.55	1400	8	Norway	Limited	Local	Temperate_seasonal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0	0	0	1	-2.784188744	1314.884954	131.9434529	0.134390909
61.1575	7.172778	15	24	Norway	Limited	Local	Boreal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0.152777778	0.286835983	0.41381685	2	4.042723428	1496.73516	1160.519307	0.559131404
68.35	18.5	985	23	Sweden	Limited	Local	Tundra	Sweden	Continent	Plantpollinatorinteractions	Native	Natural	0	0	0	1	-3.559232847	1076.037823	210.7391428	-570.0926529
71	-52	180	17	GreenlandUummannaqIsland	Limited	Local	Tundra	GreenlandUummannaqIsland	Island	Plantpollinatorinteractions	Native	Natural	0.110726644	0.223718076	0.322756959	2	-6.326947809	412.8029154	257.415203	-3000
74.500001	-21	80	32	Greenland	Full	Local	Tundra	Greenland	Island	Plantpollinatorinteractions	Native	Natural	0.060546875	0.139060798	0.200622324	2	-10.410754	387.3257803	-2.626114315	-731.0549008
78.883333	-75.916667	25	12	CanadaEllesmereIsland	Full	Local	Tundra	CanadaEllesmereIsland	Island	Plantpollinatorinteractions	Native	Natural	0.152777778	0.286835983	0.41381685	2	-13.06170576	168.9746568	-5.606924454	-956.8105759
81.816667	-71.3	260	43	CanadaEllesmereIsland	Limited	Local	Tundra	CanadaEllesmereIsland	Island	Plantpollinatorinteractions	Native	Natural	0.129799892	0.253036975	0.36505519	2	-16.09624624	139.8687702	56.21910585	-423.9002728
