community	lat	long	alt	plant_richness	effort	scale	biome	country	insularity	type	plant_origin	community_origin	prop	Tmean_ERA5	PRCPTOT_ERA5	PET_ERA5	PET_TC	P_TC	Tmax_TC	Tmin_TC	MODIS_NDVI
73	28.270833	-16.639167	3300	4	Full	Local	Subtropical_desert	SpainCanaryIslands	Island	Plantpollinatorinteractions	Native	Natural	0.99	11.08961812	286.3044556	2310.555433	1466.2	499.3	11.083335	3.1666691	0.032270248
74	28.270833	-16.639167	3520	1	Full	Local	Subtropical_desert	SpainCanaryIslands	Island	Plantpollinatorinteractions	Native	Natural	0.99	11.08961812	286.3044556	2310.555433	1466.2	499.3	11.083335	3.1666691	0.032270248
75	30.283333	130.616667	150	36	Full	Local	Temperate_seasonal_forest	JapanYakushimaIsland	Island	Plantpollinatorinteractions	Native	Natural	0.777777778	16.32943214	2289.800801	9957.390695	1142.2	3054	20.850004	14.925002	0.844898341
76	30.333333	130.566667	1300	19	Limited	Local	Temperate_seasonal_forest	JapanYakushimaIsland	Island	Plantpollinatorinteractions	Native	Natural	0.947368421	16.32943214	2289.800801	9957.390695	866.9001	3338.5	16.058334	10.4000025	0.851057849
77	30.333333	130.566667	1600	21	Limited	Local	Temperate_seasonal_forest	JapanYakushimaIsland	Island	Plantpollinatorinteractions	Native	Natural	0.952380952	16.32943214	2289.800801	9957.390695	866.9001	3338.5	16.058334	10.4000025	0.851057849
78	31.100001	30.933333	17	95	Full	Regional	Subtropical_desert	Egypt	Continent	Plantpollinatorinteractions	Alien	Artificial	0.884210526	20.07514392	66.01291613	2726.904086	1520.5001	68.5	27.433334	13.966667	0.499707438
79	31.833333	92.733333	4600	21	Full	Local	Temperate_grassland	China	Continent	Floristicsurvey	Native	Natural	0.99	-2.886498433	881.0185956	604.6609801	502.5	520	6.0416694	-8.316665	0.285892562
80	32.166667	-111.016667	785	12	Limited	Regional	Subtropical_desert	USA	Continent	Floristicsurvey	Native	Natural	0.833333333	20.57252926	261.9254262	2110.304673	1862.8002	302.6	28.89167	13.200002	0.205527273
81	32.383333	35.133333	440	143	Limited	Regional	Subtropical_desert	PalestineWestBank	Continent	Plantpollinatorinteractions	Native	Natural	0.895104895	18.75599011	408.5600099	2589.120933	1464.1	563.2	24.200003	13.775002	-24.44569174
82	32.5000001	34.95	120	16	Limited	Local	Subtropical_desert	Israel	Continent	Floristicsurvey	Native	Natural	0.9375	19.07330401	357.6530909	2754.966797	1470.4	529.3	25.116669	15.133334	-24.42143471
