community	lat	long	alt	plant_richness	effort	scale	biome	country	insularity	type	plant_origin	community_origin	prop
56	11.05	8.633333	550	42	Limited	Local	Tropical_seasonal_forestsavanna	Nigeria	Continent	Floristicsurvey	Native	Natural	0.785714286
57	14.166667	121.216667	145	52	Limited	Regional	Tropical_rain_forest	Philippines	Island	Plantpollinatorinteractions	NA	NaturalArtificial	0.826923077
58	17.916667	-76.2	10	105	Full	Local	Tropical_seasonal_forestsavanna	Jamaica	Island	Plantpollinatorinteractions	Native	Natural	0.761904762
59	22.250001	114.183333	30	80	Limited	Regional	Tropical_seasonal_forestsavanna	HongKong	Island	Plantpollinatorinteractions	Native	Natural	0.825
60	22.2666667	89.199444	3	11	Limited	Local	Tropical_seasonal_forestsavanna	Bangladesh	Continent	Plantpollinatorinteractions	Native	Natural	0.818181818
61	26.15	-97.983333	30	285	Full	Local	Tropical_seasonal_forestsavanna	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.915789474
62	26.183333	-97.833333	20	55	Limited	Local	Tropical_seasonal_forestsavanna	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.909090909
63	26.183333	-97.833333	20	29	Limited	Local	Tropical_seasonal_forestsavanna	USA	Continent	Plantpollinatorinteractions	Native	Artificial	0.896551724
64	27.0025	100.1825	3235	31	Limited	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.935483871
65	27.002778	100.201389	2725	40	Limited	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.9
66	27.015556	100.171389	3670	33	Limited	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.818181818
67	27.028056	100.184167	3910	27	Limited	Local	Temperate_grassland	China	Continent	Plantpollinatorinteractions	Native	Natural	0.888888889
68	27.066667	142.216667	165	193	Full	Regional	Temperate_seasonal_forest	JapanOgasawaraIslands	Island	Plantpollinatorinteractions	Native	Natural	0.823834197
69	28.2	-16.633333	2080	17	Limited	Local	Subtropical_desert	SpainCanaryIslands	Island	Plantpollinatorinteractions	Native	Natural	0.99
70	28.216667	-16.633333	2050	10	Full	Local	Subtropical_desert	SpainCanaryIslands	Island	Plantpollinatorinteractions	Native	Natural	0.99
71	28.270833	-16.639167	2350	9	Full	Local	Subtropical_desert	SpainCanaryIslands	Island	Plantpollinatorinteractions	Native	Natural	0.99
72	28.270833	-16.639167	2730	9	Full	Local	Subtropical_desert	SpainCanaryIslands	Island	Plantpollinatorinteractions	Native	Natural	0.99
73	28.270833	-16.639167	3300	4	Full	Local	Subtropical_desert	SpainCanaryIslands	Island	Plantpollinatorinteractions	Native	Natural	0.99
74	28.270833	-16.639167	3520	1	Full	Local	Subtropical_desert	SpainCanaryIslands	Island	Plantpollinatorinteractions	Native	Natural	0.99
75	30.283333	130.616667	150	36	Full	Local	Temperate_seasonal_forest	JapanYakushimaIsland	Island	Plantpollinatorinteractions	Native	Natural	0.777777778
76	30.333333	130.566667	1300	19	Limited	Local	Temperate_seasonal_forest	JapanYakushimaIsland	Island	Plantpollinatorinteractions	Native	Natural	0.947368421
77	30.333333	130.566667	1600	21	Limited	Local	Temperate_seasonal_forest	JapanYakushimaIsland	Island	Plantpollinatorinteractions	Native	Natural	0.952380952
78	31.100001	30.933333	17	95	Full	Regional	Subtropical_desert	Egypt	Continent	Plantpollinatorinteractions	Alien	Artificial	0.884210526
79	31.833333	92.733333	4600	21	Full	Local	Temperate_grassland	China	Continent	Floristicsurvey	Native	Natural	0.99
80	32.166667	-111.016667	785	12	Limited	Regional	Subtropical_desert	USA	Continent	Floristicsurvey	Native	Natural	0.833333333
81	32.383333	35.133333	440	143	Limited	Regional	Subtropical_desert	PalestineWestBank	Continent	Plantpollinatorinteractions	Native	Natural	0.895104895
82	32.5000001	34.95	120	16	Limited	Local	Subtropical_desert	Israel	Continent	Floristicsurvey	Native	Natural	0.9375
83	34.216667	-116.95	2300	38	Limited	Local	Subtropical_desert	USA	Continent	Plantpollinatorinteractions	NA	Natural	0.868421053
84	35.066667	135.683333	790	89	Limited	Local	Temperate_seasonal_forest	Japan	Island	Plantpollinatorinteractions	Native	Natural	0.898876404
85	36.016667	-78.983333	130	12	Limited	Regional	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.583333333
86	36.1	137.55	2800	39	Full	Local	Temperate_seasonal_forest	Japan	Island	Floristicsurvey	NA	Natural	0.846153846
