Sampling	Lat	Long
Species	-30.097972	115.823
Species	-29.574538	-50.072261
Species	-30.2	-64.2
Species	-30.202041	-64.201282
Species	-30.285515	30.603759
Species	-29.54	30.285833
Species	30.284136	-97.77882
Species	30.280836	-97.776348
Species	30.317778	119.447222
Species	30.5	102.066667
Species	-30.476401	152.660147
Species	-30.570833	152.269444
Species	30.583333	-90.316667
Species	-25.416667	30.1
Species	30.664866	114.372472
Species	-41.258461	-71.298015
Species	-30.683333	151.733333
Species	30.7	34.866667
Species	30.75	106.466667
Species	32.067946	-80.991265
Species	-30.783508	19.166452
Species	-32.734316	-65.280929
Species	-34.350945	18.482893
Species	-29.475917	30.239157
Species	-31.212778	-64.347778
Species	-31.308333	19.125
Species	31.333333	35.333333
Species	31.35	110.05
Species	-31.35	19.133333
Species	-31.35	-64.25
Species	-31.37604	-65.47989
Species	-31.366667	19.1
Species	31.466667	110.3
Species	-31.491733	116.58715
Species	31.559155	-110.526033
Species	-22.452645	-42.538368
Species	-31.583333	18.483333
Species	-31.633333	18.75
Species	31.716667	35.45
Species	-32.059015	116.089507
Species	31.8	114.066667
Species	31.927248	-109.391672
Species	-31.876977	152.364797
Species	31.883333	-109.283333
Species	31.9	-110.883333
Species	32.442456	-110.787528
Species	-34.087591	18.443201
Species	-32.075422	19.080117
Species	32.746458	103.834286
Species	-32.15	115.833333
Species	-32.139791	152.469995
Species	32.233333	-111.166667
Species	32.233333	34.833333
Species	32.383333	110.95
Species	30.261572	130.505165
Species	-32.6	19.133333
Species	32.733333	103.95
Species	32.867894	35.513111
Species	32.741828	35.054013
Species	32.118889	119.222222
Species	-33.95872	22.535274
Species	-34.110217	19.280173
Species	32.720534	74.866851
Species	-32.129512	19.335945
Species	-33.984179	115.585807
Species	33.219251	35.630408
Species	33.25	129.416667
Species	33.266667	-85.516667
Species	-33.35	18.15
Species	-33.566667	20.35
Species	-33.644545	115.508709
Species	-33.633333	19.116667
Species	33.679407	130.468538
Species	33.739233	-86.448322
Species	-33.766667	-70.45
Species	-33.529124	18.490602
Species	-33.958604	18.458066
Species	-33.833333	24.916667
Species	33.883333	130.85
Species	-33.931786	21.071847
Species	-33.983333	18.433333
Species	-34.341571	18.926077
Species	34	-96.85
Species	-33.57715	19.458217
Species	34.083333	-109.416667
Species	34.087817	77.61145
Species	-34.083333	148.033333
Species	-34.166667	-71.183333
Species	34.283333	-118.383333
Species	-25.283333	33.15
Species	-34.318611	18.968611
Species	34.366667	135.55
Species	34.366667	139.266667
Species	-18.677638	145.452421
Species	34.642033	135.735306
Species	34.716667	135.133333
Species	-34.802778	-54.582222
Species	-34.666667	150.716667
Species	34.85	132.966667
Species	-36.021051	146.902063
Species	35.024477	135.779587
Species	35.2	24.783333
Species	35.025515	135.780908
Species	-35.016667	117.883333
Species	35.033333	32.733333
Species	35.083333	135.466667
Species	35.1	135.75
Species	-35.116667	173.333333
Species	35.166667	-85.666667
Species	-35.23832	136.890077
Species	-38.101756	145.23161
Species	35.383333	138.733333
Species	35.305837	-82.490431
Species	35.408904	137.117075
Species	35.433333	133.05
Species	35.566667	136.75
Species	35.505543	139.520822
Species	35.783333	137.666667
Species	35.8	-80.883333
Species	35.883333	139.783333
Species	-35.833333	-72.45
Species	35.947361	137.639278
Species	35.950278	137.050556
Species	-35.983333	-72.683333
Species	36.993889	-2.687246
Species	35.944139	-79.04974
Species	35.376675	133.532872
Species	36.190908	139.946778
Species	-36.200025	175.076693
Species	-36.272026	174.801474
Species	36.516667	138.416667
Species	-36.55	141.35
Species	36.6	-4.65
Species	35.720155	139.743852
Species	-36.766667	143.266667
Species	-36.816667	174.783333
Species	36.933333	140.583333
Species	-37.8	147.85
Species	-37.812201	176.256641
Species	34.893045	33.222189
Species	37.083333	-3.383333
Species	-37.159211	142.64915
Species	37.25	-6.866667
Species	37.283333	-6.416667
Species	37.3	-6.5
Species	34.352466	135.700586
Species	37.374948	-80.523627
Species	37.476385	101.240552
Species	37.483333	101.2
Species	37.477317	101.243654
Species	37.887508	-2.907976
Species	-37.883333	145.266667
Species	-37.98381	145.142414
Species	37.354846	-80.479322
Species	38.033333	-84.75
Species	37.693974	-120.378796
Species	38.323062	-123.026982
Species	38.483333	-107.866667
Species	38.44231	-78.47015
Species	38.533333	-121.75
Species	38.566667	-121.483333
Species	38.666667	-109.483333
Species	40.882346	-123.971854
Species	38.958947	-106.987595
Species	-39.115639	146.38686
Species	38.9587	-106.988988
Species	38.960218	-106.987931
Species	38.962738	-106.981754
Species	38.982222	-77.241667
Species	39.800237	3.118917
Species	39.846925	-75.033713
Species	39.083333	-96.583333
Species	-39.083333	-68.583333
Species	39.122662	-83.39582
Species	39.534978	2.728222
Species	39.733333	-75.75
Species	39.816667	-84.883333
Species	39.833333	-87.55
Species	39.8988	0.684812
Species	27.271944	112.715
Species	5.062269	-53.050211
Species	40.009097	-87.554311
Species	40.083333	-106.366667
Species	40.667667	15.726472
Species	40.554293	140.886569
Species	40.725556	-4.465
Species	40.816667	14.333333
Species	-40.763012	-72.211561
Species	40.393455	-74.626863
Species	41.971389	-86.229758
Species	-41.030663	-71.395368
Species	-41.133333	-71.316667
Species	41.437468	-82.985663
Species	-41.383333	173.033333
Species	41.566667	-70.55
Species	41.6	-87.25
Species	-41.034554	-71.817455
Species	42.058768	-87.770305
Species	42.384184	8.733892
Species	42.264241	-72.669349
Species	42.520784	-74.158555
Species	42.538333	142.036667
Species	42.55	23.25
Species	42.683333	0.1
Species	-42.378524	-74.009111
Species	-42.933333	147.35
Species	43.678322	-80.901867
Species	46.570847	-90.894484
Species	43.034843	141.521672
Species	-43.033333	171.75
Species	43.066667	0.15
Species	43.834194	144.10839
Species	-43.283333	-65.1
Species	43.31385	11.33003
Species	41.184388	-81.642505
Species	43.387358	-116.479053
Species	43.053177	141.50903
Species	43.458333	-80.6125
Species	43.55	142.883333
Species	-43.030521	171.626015
Species	43.65	-87.733333
Species	42.601122	-6.828029
Species	43.716667	10.333333
Species	42.535833	-123.0675
Species	43.103772	-70.95115
Species	43.04	-89.43
Species	44.138704	-121.909136
Species	44.116667	-76.75
Species	46.518056	88.551111
Species	-36.211492	175.086382
Species	44.422778	87.790833
Species	44.466667	-67.583333
Species	44.476667	-69.835556
Species	44.973989	85.065615
Species	44.535266	-73.104008
Species	44.8	-79.616667
Species	44.883333	142.25
Species	44.933333	1.033333
Species	44.583333	-76.316667
Species	-45.053056	168.812778
Species	45.333333	127.5
Species	45.4	141.016667
Species	44.749559	33.848367
Species	46.361177	7.785503
Species	46.507778	9.774444
Species	46.55	-66.133333
Species	46.604943	-117.356876
Species	47.387133	7.148689
Species	46.753693	9.84422
Species	41.319774	-122.48
Species	46.966667	19.45
Species	47.372205	8.57081
Species	47.216667	11.45
Species	36.010329	-84.135364
Species	48.565915	-69.235049
Species	49.565278	6.537778
Species	49.926004	11.585445
Species	49.978693	7.879595
Species	5.063469	-53.048061
Species	-5.266667	145.45
Species	5.6	-0.183333
Species	50.928342	4.326388
Species	50.063016	19.954501
Species	50.244444	5.779167
Species	50.436083	-110.526833
Species	51.265229	22.516328
Species	51.112077	2.678984
Species	51.766667	-1.333333
Species	51.815	-0.358333
Species	52.357903	4.956345
Species	50.208192	19.817485
Species	52.959267	-106.072967
Species	54.351134	18.554561
Species	55.715427	13.347934
Species	56.223288	9.145441
Species	55.95	-3.2
Species	55.966667	-3.716667
Species	56.879955	9.918328
Species	56.619112	16.498429
Species	60.039403	18.67946
Species	56.793045	16.707383
Species	56.509229	16.452886
Species	59.866667	17.633333
Species	-33.391163	26.486995
Species	6.066667	116.55
Species	3.821974	-76.403615
